date,hour,registered,casual,count,temp,atemp,humidity,weather,windspeed,public_holiday,is_weekend,day_of_week,season
2010-09-20,11,2,0,2,24.0,23.0,31.0,2.0,19.0,0,0,0,4
2010-09-20,12,17,0,17,25.0,24.0,26.0,1.0,19.0,0,0,0,4
2010-09-20,13,11,0,11,26.0,25.0,24.0,1.0,24.0,0,0,0,4
2010-09-20,14,4,2,6,27.0,26.0,20.0,1.0,17.0,0,0,0,4
2010-09-20,15,10,2,12,27.0,26.0,20.0,1.0,26.0,0,0,0,4
2010-09-20,16,12,5,17,27.0,26.0,23.0,1.0,15.0,0,0,0,4
2010-09-20,17,22,2,24,26.0,25.0,23.0,1.0,22.0,0,0,0,4
2010-09-20,18,36,3,39,24.0,23.0,29.0,1.0,15.0,0,0,0,4
2010-09-20,19,22,11,33,23.0,22.0,33.0,1.0,15.0,0,0,0,4
2010-09-20,20,20,3,23,22.0,21.0,36.0,1.0,15.0,0,0,0,4
2010-09-20,21,14,4,18,21.0,21.0,40.0,1.0,19.0,0,0,0,4
2010-09-20,22,3,2,5,19.0,19.0,49.0,1.0,9.0,0,0,0,4
2010-09-20,23,5,0,5,18.0,18.0,49.0,1.0,13.0,0,0,0,4
2010-09-21,0,2,0,2,18.0,18.0,52.0,1.0,0.0,0,0,1,4
2010-09-21,6,2,1,3,14.0,14.0,72.0,2.0,0.0,0,0,1,4
2010-09-21,7,5,1,6,16.0,16.0,63.0,2.0,7.0,0,0,1,4
2010-09-21,8,22,3,25,17.0,17.0,59.0,1.0,7.0,0,0,1,4
2010-09-21,9,18,4,22,19.0,19.0,49.0,1.0,0.0,0,0,1,4
2010-09-21,10,9,3,12,21.0,21.0,43.0,1.0,0.0,0,0,1,4
2010-09-21,11,11,5,16,23.0,22.0,38.0,1.0,15.0,0,0,1,4
2010-09-21,12,14,6,20,24.0,23.0,36.0,1.0,19.0,0,0,1,4
2010-09-21,13,13,7,20,25.0,24.0,34.0,1.0,11.0,0,0,1,4
2010-09-21,14,10,7,17,26.0,25.0,32.0,1.0,15.0,0,0,1,4
2010-09-21,15,6,5,11,26.0,26.0,34.0,1.0,13.0,0,0,1,4
2010-09-21,16,7,8,15,27.0,27.0,37.0,1.0,15.0,0,0,1,4
2010-09-21,17,16,9,25,26.0,26.0,42.0,1.0,17.0,0,0,1,4
2010-09-21,18,28,19,47,24.0,24.0,50.0,1.0,11.0,0,0,1,4
2010-09-21,19,21,11,32,23.0,23.0,53.0,1.0,13.0,0,0,1,4
2010-09-21,20,12,5,17,22.0,22.0,53.0,1.0,11.0,0,0,1,4
2010-09-21,21,12,7,19,21.0,21.0,60.0,1.0,13.0,0,0,1,4
2010-09-21,22,5,7,12,21.0,21.0,64.0,1.0,13.0,0,0,1,4
2010-09-21,23,2,1,3,21.0,21.0,64.0,1.0,15.0,0,0,1,4
2010-09-22,0,1,0,1,21.0,21.0,64.0,1.0,17.0,0,0,2,4
2010-09-22,1,0,1,1,20.0,20.0,69.0,1.0,17.0,0,0,2,4
2010-09-22,2,0,1,1,21.0,21.0,64.0,1.0,17.0,0,0,2,4
2010-09-22,3,1,0,1,21.0,21.0,64.0,1.0,17.0,0,0,2,4
2010-09-22,4,2,0,2,20.0,20.0,69.0,2.0,17.0,0,0,2,4
2010-09-22,5,2,0,2,20.0,20.0,69.0,2.0,15.0,0,0,2,4
2010-09-22,6,4,0,4,20.0,20.0,69.0,2.0,11.0,0,0,2,4
2010-09-22,7,14,4,18,21.0,21.0,73.0,2.0,11.0,0,0,2,4
2010-09-22,8,24,4,28,23.0,23.0,69.0,2.0,24.0,0,0,2,4
2010-09-22,9,21,4,25,25.0,25.0,61.0,2.0,19.0,0,0,2,4
2010-09-22,10,10,6,16,26.0,27.0,61.0,2.0,20.0,0,0,2,4
2010-09-22,11,11,4,15,27.0,28.0,62.0,2.0,19.0,0,0,2,4
2010-09-22,12,16,6,22,29.0,31.0,58.0,2.0,20.0,0,0,2,4
2010-09-22,13,11,6,17,29.0,31.0,58.0,2.0,20.0,0,0,2,4
2010-09-22,14,13,12,25,32.0,33.0,46.0,2.0,17.0,0,0,2,4
2010-09-22,15,11,10,21,34.0,36.0,41.0,2.0,11.0,0,0,2,4
2010-09-22,16,14,8,22,34.0,35.0,39.0,2.0,15.0,0,0,2,4
2010-09-22,17,13,17,30,33.0,35.0,44.0,3.0,11.0,0,0,2,4
2010-09-22,18,24,7,31,31.0,33.0,52.0,3.0,15.0,0,0,2,4
2010-09-22,19,23,6,29,29.0,31.0,62.0,3.0,9.0,0,0,2,4
2010-09-22,20,15,5,20,28.0,30.0,66.0,3.0,11.0,0,0,2,4
2010-09-22,21,13,11,24,28.0,29.0,58.0,3.0,7.0,0,0,2,4
2010-09-22,22,12,1,13,26.0,27.0,65.0,3.0,9.0,0,0,2,4
2010-09-22,23,5,4,9,26.0,27.0,61.0,3.0,7.0,0,0,2,4
